"Gene"	"Ctrl_A"	"Ctrl_B"	"Ctrl_C"	"Stim_A"	"Stim_B"	"Stim_C"
"0610005C13Rik"	0	0	0	0	0	0
"0610007N19Rik"	82	59	21	36	32	15
"0610007P14Rik"	58	91	68	62	74	58
"0610008F07Rik"	0	0	0	0	0	0
"0610009B14Rik"	2	0	1	0	0	0
"0610009B22Rik"	271	577	328	253	444	325
"0610009D07Rik"	270	654	372	260	474	430
"0610009L18Rik"	32	22	14	18	24	16
"0610009O20Rik"	212	122	74	145	139	97
"0610010B08Rik"	1	8	5	1	11	12
"0610010F05Rik"	41	36	47	44	47	85
"0610010K14Rik"	617	587	150	686	383	95
"0610011F06Rik"	608	471	77	461	444	53
"0610012G03Rik"	159	295	115	156	250	78
"0610012H03Rik"	6	0	0	5	5	2
"0610030E20Rik"	25	2	2	21	1	0
"0610031J06Rik"	801	676	565	592	734	476
"0610031O16Rik"	0	0	0	0	0	0
"0610037L13Rik"	94	81	54	79	65	65
"0610038B21Rik"	1	0	0	1	0	0
"0610038L08Rik"	0	0	0	0	0	0
"0610039K10Rik"	0	0	1	2	0	0
"0610040B10Rik"	4	33	16	8	19	14
"0610040F04Rik"	1	0	0	5	0	0
"0610040J01Rik"	97	51	55	90	53	48
"0610043K17Rik"	0	4	2	1	0	5
"1100001G20Rik"	3	4	1	1	1	1
"1110001A16Rik"	63	104	82	65	78	69
"1110001J03Rik"	137	64	10	124	55	3
"1110002L01Rik"	2	0	0	6	0	1
"1110004E09Rik"	887	807	270	879	609	274
"1110004F10Rik"	517	907	702	582	833	607
"1110006O24Rik"	57	49	17	83	60	17
"1110007C09Rik"	132	149	6	135	108	12
"1110008F13Rik"	63	58	43	61	61	30
"1110008J03Rik"	81	101	42	80	72	74
"1110008L16Rik"	153	209	234	118	219	208
"1110008P14Rik"	635	223	4	508	234	13
"1110012L19Rik"	128	225	154	113	221	163
"1110015O18Rik"	0	0	0	0	0	0
"1110017D15Rik"	1611	2467	528	1752	2368	967
"1110019D14Rik"	70	242	138	49	224	148
"1110020A21Rik"	17	33	21	45	42	28
"1110025L11Rik"	0	0	0	0	0	0
"1110028F11Rik"	0	1	0	4	2	0
"1110028F18Rik"	0	5	0	0	0	0
"1110032A03Rik"	1134	2240	1203	1190	2457	1400
"1110032F04Rik"	0	0	0	0	0	0
"1110034G24Rik"	44	121	71	113	114	51
"1110035M17Rik"	0	0	0	1	0	0
"1110036E04Rik"	0	0	0	0	0	0
"1110037F02Rik"	269	197	1021	268	130	730
"1110038B12Rik"	52	42	28	28	30	22
"1110038F14Rik"	261	265	111	274	261	130
"1110046J04Rik"	2	5	4	5	4	3
"1110051M20Rik"	414	475	418	420	499	314
"1110054M08Rik"	18	6	5	17	9	2
"1110057K04Rik"	46	48	52	59	30	23
"1110058L19Rik"	119	267	139	162	223	143
"1110059E24Rik"	63	144	123	65	113	96
"1110059G10Rik"	90	269	105	59	163	154
"1110059M19Rik"	0	0	0	0	0	0
"1110065P20Rik"	50	15	7	29	8	7
"1190002F15Rik"	17	45	26	19	28	26
"1190002N15Rik"	11	8	10	17	21	7
"1190003K10Rik"	0	0	0	0	0	0
"1190005I06Rik"	4	1	0	3	0	0
"1190007I07Rik"	23	14	7	14	12	10
"1200011I18Rik"	8	45	11	28	28	1
"1200014J11Rik"	61	82	64	99	26	67
"1300002E11Rik"	157	423	291	206	390	339
"1300002K09Rik"	0	0	0	0	0	0
"1300015D01Rik"	0	0	0	0	0	0
"1300017J02Rik"	1	24	3	9	14	8
"1500002O10Rik"	0	0	0	0	0	0
"1500004A13Rik"	26	13	21	39	46	20
"1500009C09Rik"	8	4	2	0	2	2
"1500009L16Rik"	5	1	0	3	3	1
"1500011B03Rik"	98	57	0	106	57	0
"1500011K16Rik"	81	143	0	78	88	2
"1500012F01Rik"	46	62	40	34	53	47
"1500012K07Rik"	0	0	0	0	3	3
"1500015A07Rik"	297	865	585	383	929	692
"1500015L24Rik"	1	7	3	0	7	0
"1500015O10Rik"	75	69	42	62	36	15
"1500016L03Rik"	0	1	0	0	0	0
"1500017E21Rik"	0	0	0	0	0	0
"1600002D24Rik"	0	0	0	0	0	0
"1600002H07Rik"	111	62	61	47	70	46
"1600002K03Rik"	42	14	34	18	15	15
"1600010M07Rik"	0	0	0	0	0	0
"1600012H06Rik"	101	66	52	120	84	46
"1600014C10Rik"	17	17	4	14	11	10
"1600014C23Rik"	0	0	0	1	0	0
"1600014K23Rik"	0	0	0	0	0	0
"1600015I10Rik"	0	0	0	0	0	11
"1600016N20Rik"	35	8	54	51	45	47
"1600019K03Rik"	0	0	0	0	0	0
"1600020E01Rik"	18	7	17	13	15	18
"1600023N17Rik"	89	266	21	152	245	38
"1600025M17Rik"	0	0	0	0	0	0
"1600029D21Rik"	662	236	306	281	499	274
"1600029I14Rik"	159	172	140	238	184	106
"1600029O15Rik"	1	0	0	2	0	1
"1700001C02Rik"	239	302	97	284	342	84
"1700001C19Rik"	0	1	2	0	2	0
"1700001D01Rik"	0	0	0	0	0	0
"1700001F09Rik"	0	5	0	0	0	0
"1700001G11Rik"	4	3	1	7	0	2
"1700001G17Rik"	21	6	3	15	17	5
"1700001J03Rik"	0	0	2	0	2	1
"1700001J11Rik"	0	2	3	0	1	8
"1700001K19Rik"	6	0	11	10	10	12
"1700001K23Rik"	0	0	0	0	0	0
"1700001L05Rik"	2	2	0	2	3	0
"1700001L19Rik"	224	320	203	240	336	235
"1700001O22Rik"	95	78	60	77	110	53
